ts_micro,frame,wheel
1527607564268,1,0.0
1527607564318,2,0.0
1527607564368,3,0.0
1527607564418,4,0.0
1527607564468,5,0.0
1527607564518,6,0.0
1527607564568,7,0.0
1527607564618,8,0.0
1527607564668,9,0.0
1527607564718,10,0.0
1527607564768,11,0.0
1527607564818,12,0.0
1527607564868,13,0.0
1527607564918,14,0.0
1527607564968,15,0.0
1527607565018,16,0.0
1527607565068,17,0.0
1527607565118,18,0.0
1527607565168,19,0.0
1527607565218,20,0.0
1527607565268,21,0.0
1527607565318,22,0.0
1527607565368,23,0.0
1527607565418,24,0.0
1527607565468,25,0.0
1527607565518,26,0.0
1527607565568,27,0.0
1527607565618,28,0.0
1527607565668,29,-0.523598775598
1527607565718,30,-0.523598775598
1527607565768,31,-0.523598775598
1527607565818,32,-0.523598775598
1527607565868,33,0.0
1527607565918,34,0.0
1527607565968,35,0.523598775598
1527607566018,36,0.523598775598
1527607566068,37,0.523598775598
1527607566118,38,0.523598775598
1527607566169,39,0.523598775598
1527607566218,40,0.523598775598
1527607566268,41,0.523598775598
1527607566318,42,0.523598775598
1527607566368,43,0.523598775598
1527607566418,44,0.523598775598
1527607566468,45,0.523598775598
1527607566518,46,0.523598775598
1527607566568,47,0.523598775598
1527607566618,48,0.523598775598
1527607566668,49,0.523598775598
1527607566718,50,0.523598775598
1527607566768,51,0.523598775598
1527607566818,52,0.523598775598
1527607566868,53,0.523598775598
1527607566918,54,0.523598775598
1527607566968,55,0.523598775598
1527607567018,56,0.523598775598
1527607567068,57,0.523598775598
1527607567118,58,0.523598775598
1527607567168,59,0.523598775598
1527607567218,60,0.523598775598
1527607567268,61,-0.523598775598
1527607567318,62,-0.523598775598
1527607567368,63,-0.523598775598
1527607567418,64,-0.523598775598
1527607567468,65,-0.523598775598
1527607567518,66,-0.523598775598
1527607567568,67,-0.523598775598
1527607567618,68,-0.523598775598
1527607567668,69,-0.523598775598
1527607567718,70,-0.523598775598
1527607567768,71,-0.523598775598
1527607567818,72,-0.523598775598
1527607567868,73,-0.523598775598
1527607567918,74,0.0
1527607567968,75,0.0
1527607568018,76,0.0
1527607568068,77,0.0
1527607568118,78,0.523598775598
1527607568168,79,0.523598775598
1527607568218,80,0.523598775598
1527607568268,81,0.523598775598
1527607568318,82,0.523598775598
1527607568368,83,0.523598775598
1527607568418,84,0.523598775598
1527607568468,85,0.523598775598
1527607568518,86,0.523598775598
1527607568569,87,0.523598775598
1527607568618,88,0.523598775598
1527607568668,89,0.523598775598
1527607568718,90,0.523598775598
1527607568768,91,0.523598775598
1527607568818,92,0.0
1527607568868,93,0.0
1527607568918,94,0.0
1527607568968,95,0.0
1527607569018,96,0.523598775598
1527607569068,97,0.523598775598
1527607569118,98,0.523598775598
1527607569168,99,0.523598775598
1527607569218,100,0.523598775598
