ts_micro,frame,wheel
1527609051992,1,0.0
1527609052042,2,0.0
1527609052092,3,0.0
1527609052142,4,0.0
1527609052192,5,0.0
1527609052242,6,0.0
1527609052292,7,0.0
1527609052342,8,0.0
1527609052392,9,0.0
1527609052442,10,0.0
1527609052492,11,0.0
1527609052542,12,0.0
1527609052592,13,0.0
1527609052642,14,0.0
1527609052692,15,0.0
1527609052742,16,0.0
1527609052792,17,0.0
1527609052842,18,0.0
1527609052892,19,0.0
1527609052942,20,0.0
1527609052992,21,0.0
1527609053042,22,0.0
1527609053092,23,0.0
1527609053142,24,0.0
1527609053192,25,0.0
1527609053242,26,0.0
1527609053292,27,0.0
1527609053342,28,0.0
1527609053392,29,0.0
1527609053442,30,0.0
1527609053492,31,0.0
1527609053542,32,0.0
1527609053592,33,0.523598775598
1527609053642,34,0.523598775598
1527609053692,35,0.523598775598
1527609053742,36,0.523598775598
1527609053792,37,0.523598775598
1527609053842,38,0.523598775598
1527609053892,39,0.523598775598
1527609053942,40,0.523598775598
1527609053992,41,0.523598775598
1527609054042,42,0.523598775598
1527609054092,43,0.523598775598
1527609054142,44,0.523598775598
1527609054192,45,0.523598775598
1527609054242,46,0.523598775598
1527609054292,47,0.0
1527609054342,48,0.0
1527609054392,49,0.0
1527609054442,50,0.0
1527609054492,51,0.0
1527609054542,52,0.0
1527609054592,53,0.0
1527609054642,54,0.0
1527609054692,55,0.523598775598
1527609054742,56,0.523598775598
1527609054792,57,0.523598775598
1527609054842,58,0.0
1527609054892,59,0.0
1527609054942,60,0.0
1527609054992,61,0.0
1527609055042,62,0.0
1527609055092,63,0.0
1527609055142,64,0.0
1527609055192,65,0.0
1527609055242,66,0.0
1527609055292,67,0.523598775598
1527609055342,68,0.523598775598
1527609055392,69,0.0
1527609055442,70,0.0
1527609055492,71,0.0
1527609055542,72,0.0
1527609055592,73,0.0
1527609055642,74,0.0
1527609055692,75,0.0
1527609055742,76,0.0
1527609055792,77,0.0
1527609055842,78,0.0
1527609055892,79,0.0
1527609055942,80,0.0
1527609055992,81,0.523598775598
1527609056042,82,0.523598775598
1527609056092,83,0.523598775598
1527609056142,84,0.523598775598
1527609056192,85,0.523598775598
1527609056242,86,0.523598775598
1527609056292,87,0.523598775598
1527609056342,88,0.523598775598
1527609056392,89,0.523598775598
1527609056442,90,0.523598775598
1527609056492,91,0.523598775598
1527609056542,92,0.523598775598
1527609056592,93,0.523598775598
1527609056642,94,0.523598775598
1527609056692,95,0.523598775598
1527609056742,96,0.523598775598
1527609056792,97,0.0
1527609056842,98,0.0
1527609056892,99,0.0
1527609056942,100,0.0
1527609056992,101,0.0
1527609057042,102,0.0
1527609057092,103,0.0
1527609057142,104,0.0
1527609057192,105,0.0
1527609057242,106,0.0
1527609057292,107,0.0
1527609057342,108,0.0
1527609057392,109,0.0
1527609057442,110,0.0
1527609057492,111,0.0
1527609057542,112,0.0
1527609057592,113,0.0
1527609057642,114,0.0
1527609057692,115,0.0
1527609057742,116,0.0
1527609057792,117,0.0
1527609057842,118,0.0
1527609057892,119,0.0
1527609057942,120,0.0
1527609057992,121,0.0
1527609058042,122,0.0
1527609058092,123,0.0
1527609058143,124,0.523598775598
